epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0176,1.93817,3.85391,1.87866,0.0054,0.56778,0.18284,0.10953,1.58703,3.63054,1.68091,0.0001111,0.0001111,0.0001111
2,102.527,1.62564,3.46658,1.58825,0.00738,0.74,0.29959,0.16995,1.55157,3.44452,1.4996,0.000224071,0.000224071,0.000224071
3,154.351,1.49546,2.7747,1.46022,0.7713,0.32044,0.36646,0.17545,1.63366,3.17256,1.48063,0.000327363,0.000327363,0.000327363
4,205.113,1.59318,2.268,1.47404,0.87792,0.31619,0.39676,0.19237,1.85586,2.59577,1.65272,0.000420976,0.000420976,0.000420976
5,256.399,1.57932,2.11854,1.43525,0.75161,0.45778,0.39738,0.21996,1.73139,2.28985,1.52955,0.00050491,0.00050491,0.00050491
6,307.424,1.54838,1.9632,1.40333,0.54453,0.51293,0.38829,0.20717,1.82615,2.14954,1.64103,0.000579164,0.000579164,0.000579164
7,356.958,1.5034,1.91991,1.37707,0.62415,0.54,0.53752,0.23006,1.9701,2.03212,1.7317,0.00064374,0.00064374,0.00064374
8,408.079,1.43055,1.75312,1.3303,0.5478,0.48415,0.49071,0.23509,1.94058,1.87867,1.67467,0.000698637,0.000698637,0.000698637
9,458.912,1.40737,1.67821,1.28417,0.7599,0.41993,0.39311,0.20591,1.81577,1.92581,1.60155,0.000743854,0.000743854,0.000743854
10,508.992,1.3566,1.62357,1.25462,0.53159,0.48078,0.43215,0.20355,1.89925,1.85639,1.66694,0.00071504,0.00071504,0.00071504
11,559.028,1.34088,1.48524,1.25635,0.63583,0.52323,0.44811,0.20828,1.89965,1.86507,1.63142,0.000671044,0.000671044,0.000671044
12,610.885,1.37953,1.53046,1.29446,0.61268,0.51,0.39931,0.18376,1.87852,1.86528,1.55861,0.000627048,0.000627048,0.000627048
13,661.722,1.35686,1.49774,1.27258,0.65094,0.4282,0.47708,0.21423,1.94502,1.94861,1.60652,0.000583053,0.000583053,0.000583053
14,711.957,1.29146,1.42222,1.2089,0.56996,0.53491,0.48372,0.22686,1.93483,1.82767,1.6188,0.000539057,0.000539057,0.000539057
15,763.523,1.30604,1.44835,1.22344,0.6889,0.46365,0.48201,0.21848,1.83239,1.78333,1.51624,0.000495062,0.000495062,0.000495062
16,813.687,1.26495,1.56776,1.19028,0.75698,0.48574,0.50106,0.22846,1.80967,1.92661,1.49417,0.000451066,0.000451066,0.000451066
17,863.386,1.19865,1.46211,1.14818,0.7737,0.42,0.50708,0.23811,1.8945,2.08207,1.54672,0.00040707,0.00040707,0.00040707
18,914.599,1.19679,1.47904,1.14743,0.59754,0.49,0.47307,0.21196,1.94366,2.20562,1.56852,0.000363075,0.000363075,0.000363075
19,964.493,1.19028,1.39581,1.12012,0.72438,0.48637,0.50802,0.21451,1.97935,2.14385,1.58838,0.000319079,0.000319079,0.000319079
20,1016.12,1.17291,1.38516,1.1081,0.75176,0.55308,0.58237,0.24483,2.03717,1.90284,1.64523,0.000275084,0.000275084,0.000275084
21,1066.11,1.15544,1.34928,1.11986,0.73721,0.52879,0.57157,0.23878,2.02035,1.87805,1.65451,0.000231088,0.000231088,0.000231088
22,1117.14,1.14537,1.28536,1.08363,0.72985,0.46596,0.56203,0.24791,2.01171,1.87821,1.64402,0.000187092,0.000187092,0.000187092
23,1168.11,1.11896,1.29092,1.08536,0.60598,0.44848,0.49755,0.23707,1.96931,1.85218,1.60548,0.000143097,0.000143097,0.000143097
24,1218.53,1.0921,1.24898,1.08547,0.60047,0.52905,0.51197,0.24326,1.95846,1.84814,1.5954,9.91012e-05,9.91012e-05,9.91012e-05
25,1268.5,1.07868,1.22854,1.07109,0.69776,0.48208,0.52144,0.24965,1.92312,1.83872,1.57549,5.51056e-05,5.51056e-05,5.51056e-05
